YYMM,AY.4,BA.2,BA.1.1,B.1.1.7,BA.1,AY.103,AY.44,BA.1.17.2,BA.2.12.1,AY.3,BA.2.9,AY.43,BA.5.2.1,BA.1.15,AY.25,B.1.617.2,BA.5.1,AY.122,AY.4.2,BA.5.2,XBB.1.5,B.1.2,unclassifiable,AY.100,BQ.1.1,AY.25.1,BA.1.1.18,B.1.177,B.1,AY.5,BA.2.3,BA.1.15.1,AY.98,AY.39,BA.5.5,B.1.526,AY.26,AY.47,BA.4.1,B.1.429,BE.1.1,AY.119,AY.120,AY.4.2.2,BA.1.18,BA.4.6,AY.6,BA.2.10,JN.1,BA.1.17,BA.1.20,BA.1.1.1,BQ.1,B.1.1,AY.126,BA.5.6,AY.20,BF.7,P.1,BA.4,AY.9.2,AY.4.2.1,HV.1,AY.118,AY.75,BA.1.1.14,BA.2.23,BA.1.1.15,AY.9,BA.1.16,AY.46.6,AY.121,BA.2.1,B.1.160,B.1.427,BE.1,BA.5,AY.98.1,JN.1.4,AY.3.1,AY.46.5,BF.5,BF.10,B.1.1.519,AY.117,B.1.637,AY.4.6,AY.125,AY.42,D.2,AY.127,AY.14,AY.54,BA.5.2.9,CH.1.1
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15913,38,2447,12182,3931,42,19,2619,0,30,0,820,0,696,27,1316,0,239,1524,0,0,368,2365,16,0,25,71,1756,968,954,4,647,688,18,0,7,4,6,0,4,0,11,620,545,225,0,536,13,0,614,108,152,0,600,56,0,2,0,19,0,73,308,0,1,5,71,0,137,496,209,22,62,0,254,0,0,0,27,0,6,246,0,0,5,4,4,4,23,16,392,100,0,0,0,0
2001,0,0,9,0,51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,241,0,0,0,0,5,11463,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2004,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,884,0,0,0,0,1,11718,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6887,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0
2005,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,47,740,0,0,0,0,2,5120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,22,0,0,0,0,0
2006,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,306,306,0,0,0,0,9,2948,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,388,0,0,0,0,0
2007,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1336,191,0,0,1,0,26,1945,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,0,0,0,0,0
2008,2,0,0,0,0,0,2,0,2,1,0,9,0,0,3,9,0,6,0,0,0,1164,227,2,0,0,0,873,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,918,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,4077,0,0,0,0,0
2009,1,1,0,6,2,0,1,0,1,1,0,10,0,0,0,4,0,8,0,1,0,2328,632,0,0,2,0,4533,1575,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1782,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,648,0,0,0,0,0
2010,10,1,0,89,0,3,4,0,2,0,0,18,0,0,3,7,0,18,0,0,0,4539,1484,6,0,1,0,11050,1899,0,0,0,1,0,0,1,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,746,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,1,0,2369,15,0,0,1,0,0,0,0,0,0,0,4,1,10,5,31,0,0,0,0,0
2011,3,0,17,2472,3,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,9111,1390,0,0,0,1,14869,2067,1,0,0,0,0,0,3,0,0,0,366,0,0,0,0,0,0,0,0,0,1,0,1,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,139,0,0,0,0,1,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0
2012,2,7,21,19042,3,1,2,1,0,0,2,2,0,0,0,13,0,2,0,0,6,12319,2006,0,0,2,1,11921,2547,1,0,0,0,0,0,34,0,0,0,2614,0,0,0,0,0,0,0,1,0,0,0,0,0,816,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1342,1168,0,0,0,0,0,0,0,0,134,0,13,0,0,0,0,0,0,0,0,0
21,9,0,8,1229,10,206,134,0,0,114,0,2,0,11,125,88,0,19,0,0,0,35,32,40,0,68,7,12,11,6,0,0,0,69,0,5,16,25,0,7,0,34,0,0,6,0,0,0,0,1,1,0,0,5,2,0,6,0,21,0,1,0,0,20,18,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,0,0,0,7,8,9,0,1,0,0,4,5,1,0,0
2101,23,6,41,67625,27,5,2,10,1,2,0,11,0,9,2,11,0,6,1,0,3,17342,4523,1,0,0,5,7866,2028,1,0,4,1,1,0,428,2,0,0,4768,0,0,0,2,2,0,0,0,0,1,1,0,0,812,4,0,0,0,76,0,6,1,0,0,1,0,0,0,0,1,2,3,0,3018,2358,1,0,2,0,0,0,0,0,853,0,138,0,0,5,0,0,0,0,0,0
2102,16,0,7,81642,4,3,1,2,0,1,1,17,0,1,4,10,0,7,0,0,0,18038,3531,2,0,0,1,2278,1944,2,0,1,1,2,0,3254,0,0,0,7727,0,0,0,0,0,0,0,0,0,2,0,0,0,948,0,0,0,0,141,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2176,3665,0,0,0,0,0,3,0,0,2822,0,755,0,1,3,0,0,0,0,0,0
2103,14,2,4,147822,2,1,3,1,0,0,0,15,0,0,2,72,0,6,0,0,0,13649,2087,0,0,0,0,752,2207,1,0,3,0,0,0,11734,2,0,0,10478,0,0,0,0,0,0,1,0,0,0,0,0,0,777,0,0,0,0,1425,0,2,0,0,0,0,0,0,0,1,0,1,0,0,702,4669,0,0,1,0,0,0,0,0,4905,0,3419,0,0,3,0,0,1,0,0,0
2104,231,2,0,161568,1,5,66,0,0,12,0,7,0,1,18,1948,0,97,0,0,0,2944,888,1,0,0,2,169,828,59,0,0,6,5,0,14559,31,1,0,4973,0,2,2,0,0,0,26,0,0,0,0,0,0,462,8,0,0,0,5507,0,2,0,0,2,24,0,0,0,72,0,0,1,0,39,1884,0,0,0,0,0,0,0,0,3565,0,4324,0,0,5,0,3,9,0,0,0
2105,16705,0,1,100344,3,58,694,0,1,65,0,1,0,0,233,4520,0,465,1,0,0,194,931,6,0,4,0,29,540,1648,0,0,566,21,0,5678,123,4,0,855,0,42,472,0,1,0,694,0,0,0,0,0,0,237,1,0,5,0,5434,0,1,0,0,0,88,0,0,0,2112,0,0,3,0,9,437,0,0,0,0,0,1,0,0,973,135,2330,0,0,0,0,2,29,10,0,0
2106,72321,0,0,30733,0,1345,5070,0,0,1354,0,104,0,0,1461,6935,0,2153,188,0,0,38,1650,198,0,232,0,6,412,3948,0,0,3123,302,0,1246,990,471,0,79,0,188,2538,0,0,0,2873,0,0,0,0,0,0,100,46,0,228,0,4022,0,55,0,0,179,630,0,0,0,5243,0,1,49,0,11,57,0,0,34,0,65,35,0,0,125,332,846,4,9,37,0,7,466,429,0,0
2107,109167,1,2,7640,0,17972,27884,1,1,12536,0,9012,0,1,12850,13892,0,7508,1191,0,0,19,2881,3384,0,5515,0,32,265,7950,0,0,4475,2939,0,266,6507,6443,0,7,0,3084,4340,6,0,0,5693,0,0,0,0,0,0,35,301,0,2996,0,2214,0,2371,17,0,2677,4266,0,0,0,3425,0,206,138,0,11,6,0,0,1450,0,1411,521,0,0,22,870,423,27,1189,2576,0,52,4118,3069,0,0
2108,125548,1,68,1538,8,42156,46307,4,0,29017,0,16613,0,5,25936,19382,1,15606,3800,0,0,46,2650,11136,0,12127,0,6,320,9969,0,0,4039,6684,0,23,10847,10670,0,4,0,5664,5411,253,0,0,6143,0,0,0,0,1,0,22,2432,0,5310,0,903,0,4209,341,0,4831,5767,0,0,0,1902,0,1931,1013,0,6,9,0,0,2385,0,3632,1285,0,0,1,1731,47,1494,2493,3193,0,305,4009,3545,0,0
2109,131996,4,11,119,1,44430,38463,0,1,29804,0,16794,0,2,23820,14753,0,14443,8822,0,0,97,2348,12849,0,11915,0,10,317,8914,0,0,5840,7652,0,5,6650,7675,0,39,0,5401,4545,1733,2,0,4610,0,0,0,0,0,0,18,3128,0,3815,0,129,0,3046,962,0,3908,3321,0,0,0,1153,1,3087,1704,0,2,105,0,0,2269,0,3458,2457,0,0,3,2157,6,1296,2186,2113,0,559,1458,1990,0,0
2110,132567,2,8,33,10,45524,35422,1,0,25959,0,19089,0,3,20856,13234,0,15494,15744,1,1,6,2864,13080,0,10154,1,1,211,7697,0,0,7218,7853,0,2,4289,4184,0,1,0,5641,4876,3759,0,0,3499,0,0,1,0,0,0,16,4130,1,3490,0,54,0,3154,2871,0,2828,1677,0,0,0,461,0,2915,2397,0,16,0,0,1,2395,0,2389,3069,0,1,0,2599,0,3125,1865,1030,0,1484,684,922,0,0
2111,151659,4,94,43,380,56458,37737,115,1,26483,0,37395,2,55,21775,14883,0,23534,32485,0,0,3,2700,16148,0,11154,10,0,127,7470,0,2,10474,9362,0,0,3064,2737,0,0,1,6308,5231,11836,74,0,3097,0,1,112,11,1,1,5,7330,0,3156,0,15,0,4137,8115,0,2172,969,0,0,0,248,2,3933,4511,0,3,0,0,0,3379,1,1959,3995,0,0,0,3426,0,3837,2258,1510,0,4225,463,762,0,0
2112,75938,1046,76561,15,95163,37019,21503,56886,2,15954,442,27355,3,39381,13256,10401,0,15205,24400,0,1,2,5249,10553,2,7092,10469,0,78,3350,12,15379,7100,6716,0,1,1702,1349,2,1,0,4194,2226,11623,6074,0,1301,4,0,6682,8403,912,0,27,6086,0,2073,0,2,0,2399,6016,0,1337,498,1716,1,1851,132,4719,2500,4381,0,1,0,0,0,2051,0,1125,2262,0,0,0,2039,0,1864,1478,983,0,4198,120,237,0,0
22,0,86,217,0,32,3,1,1,11,4,6,0,22,42,0,1,8,0,0,6,0,0,1,0,5,3,28,0,0,0,7,0,0,1,14,0,0,0,9,0,0,1,0,0,4,2,0,5,0,3,13,0,3,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
2201,2580,32173,290819,11,153562,1741,1012,90101,44,789,7371,2683,1,58791,726,1033,3,1469,888,4,1,4,7653,512,3,338,31474,1,32,104,895,21422,226,297,4,0,67,52,1,0,0,227,81,499,13835,1,43,2219,0,13498,11799,8937,0,5,608,2,89,0,0,0,228,233,1,47,13,6346,34,6238,11,7537,323,584,336,0,0,1,0,219,0,37,63,1,0,0,99,1,18,122,131,0,455,3,10,0,0
2202,112,141779,242653,9,55995,43,35,27542,26,32,21287,119,1,21142,31,71,3,49,28,5,4,5,2912,15,2,11,13512,0,11,6,6345,6784,8,8,0,0,4,1,0,0,0,9,7,27,7742,0,7,8763,0,4595,4545,10644,0,3,37,0,1,0,0,0,6,16,0,0,0,5900,1294,5759,0,2404,7,22,3122,0,0,1,0,8,0,1,3,0,0,2,3,0,2,4,2,0,17,0,1,0,0
2203,44,348219,65509,6,7035,15,8,3375,1679,13,49564,6,4,2789,3,16,2,2,3,3,0,2,2895,3,1,4,2279,2,18,1,17568,665,2,4,3,0,0,1,4,0,0,0,0,1,1920,0,5,11814,0,657,563,3737,0,2,0,0,0,0,0,9,1,0,0,1,0,1702,6878,1399,0,306,1,5,7959,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2204,1,173721,6707,1,362,2,2,165,21334,3,31362,4,45,202,6,6,29,0,2,13,0,4,1432,0,1,0,238,0,1,0,12648,19,0,0,30,0,0,1,158,0,25,0,0,0,120,1,0,3647,0,27,50,358,0,0,0,0,0,0,1,150,0,0,0,0,0,114,4761,35,0,5,0,0,2440,0,0,14,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2205,1,76664,553,11,62,4,2,30,72923,0,15793,2,896,29,0,5,1779,2,2,378,0,1,974,0,0,0,38,0,3,0,7441,2,0,0,1621,0,0,0,2514,0,467,0,0,3,23,90,0,1317,0,12,7,26,0,1,0,255,0,0,0,1467,0,0,0,0,0,14,1761,2,0,0,1,0,782,0,0,223,200,0,1,0,0,46,44,0,0,0,0,0,0,0,0,0,0,35,0
2206,3,18727,68,0,27,0,1,7,60160,0,4041,1,14758,8,0,1,20570,0,2,6973,1,0,1689,1,0,0,9,0,5,2,2009,2,1,0,9950,0,0,0,12620,3,9061,1,0,1,3,1166,0,296,0,3,3,7,0,1,0,3509,0,66,0,8485,0,0,0,2,0,1,646,0,0,1,0,0,194,0,0,3307,2475,0,0,0,0,915,1201,0,0,0,0,0,0,0,0,0,0,488,0
2207,5,2075,40,2,11,0,0,5,13293,0,391,0,36606,8,1,1,31525,0,1,20421,0,1,1999,0,0,0,3,0,3,0,214,0,0,0,14339,0,0,0,12096,0,10474,2,0,0,2,4710,0,24,0,0,0,0,2,8,0,8923,0,351,0,7173,0,0,0,4,0,1,64,0,0,0,0,0,18,0,0,5434,4253,0,0,0,0,3119,3346,0,0,0,0,0,0,0,0,0,0,2114,0
2208,2,237,40,0,5,0,0,5,1231,0,34,0,30615,1,0,0,18808,2,1,20410,1,3,1223,1,5,0,2,0,1,0,28,1,0,2,7578,0,0,0,3796,0,4865,0,1,0,1,7377,0,5,0,2,1,0,20,1,0,6089,0,1023,1,1801,0,0,0,1,0,1,9,0,0,0,0,0,2,0,0,3049,2794,0,0,0,0,3166,3510,0,0,0,0,0,0,0,0,0,0,2845,0
2209,0,114,17,2,7,0,0,4,97,0,6,0,21514,2,0,7,12619,3,0,18899,0,0,939,0,500,0,5,0,3,0,10,0,0,0,2725,0,0,0,1015,0,3286,2,0,0,3,8132,0,1,0,0,0,1,565,1,2,3109,0,2924,2,529,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1557,2056,1,0,0,0,2716,2670,0,0,0,0,0,0,0,0,0,0,2212,1
2210,0,123,17,1,7,0,0,5,16,0,8,0,13936,1,0,0,8137,0,0,14812,5,0,1228,0,4360,0,3,0,0,0,6,0,0,0,909,0,0,0,294,0,2155,1,0,0,0,5213,0,0,0,0,1,0,3258,0,0,1063,0,6296,0,169,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,621,1555,0,0,0,0,2223,1674,0,0,0,0,0,0,0,0,0,0,1413,86
2211,0,66,9,1,1,0,1,5,10,0,1,0,4773,3,0,0,2465,0,0,4472,213,0,887,0,12974,0,0,0,2,0,7,0,0,0,259,0,0,0,42,0,525,0,0,0,0,2306,0,0,0,1,1,0,7023,1,0,301,0,4296,0,75,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,199,544,0,0,0,0,828,774,0,0,0,0,0,0,0,0,0,0,723,415
2212,0,82,30,0,8,1,1,1,5,1,3,0,1551,2,0,2,1026,0,0,1619,3132,0,973,0,25370,1,4,0,2,0,6,0,0,0,44,0,0,0,21,0,153,0,0,0,3,760,0,0,0,0,0,2,9018,0,0,75,0,3647,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,51,306,0,1,0,0,452,281,0,0,0,0,0,0,0,0,0,0,258,2602
23,0,5,1,0,37,0,1,16,0,1,0,0,21,5,0,1,2,0,0,0,21,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2301,0,66,22,0,3,0,0,0,5,0,3,0,355,3,0,0,223,1,0,308,16004,0,624,0,13523,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,33,0,0,0,1,151,0,0,0,1,1,0,3559,0,0,14,0,1259,0,12,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,10,91,0,0,0,0,156,40,0,0,0,0,0,0,0,0,0,0,49,2950
2302,0,96,3,0,1,1,0,0,2,0,0,0,69,0,0,0,72,0,0,74,25809,0,528,0,4734,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,11,0,0,0,0,19,0,0,0,0,0,0,824,0,0,4,0,306,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,13,2585
2303,0,36,5,0,0,0,0,0,6,0,0,0,20,0,0,0,11,0,0,19,24145,15,661,0,1111,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,0,2,0,0,0,0,222,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1171
2304,1,31,6,3,3,0,0,1,4,0,2,0,6,0,0,0,5,0,0,2,11750,2,369,0,118,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,19,0,0,0,0,5,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,166
2305,0,5,1,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,2,4645,0,228,0,30,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28
2306,0,2,1,0,0,0,0,1,2,0,0,0,5,0,0,1,0,0,0,0,1208,0,115,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2307,0,6,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,617,0,147,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,407,0,243,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2309,0,6,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,156,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2310,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,90,0,0,0,0,0,0,0,0,0,0,1,0,0,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,0,21,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,10,0,350,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1425,0,0,0,1,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,577,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7784,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10077,0,1,0,1,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,0,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5810,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,120,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2404,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
